"ID","Created Date","Updated Date","Owner","listingTitle","billType","period","amount","description","property","bukkuurl","billname","client","Paid"
"00cafbff-62e3-4de3-98a6-2241edf9bb2c",2025-10-08T07:38:36Z,2026-02-19T13:01:27Z,"4603e922-975d-4dea-a482-3cce8a0e1539","Jalan Kuning Jalan Kuning","177a051b-fd6a-4af3-841f-0cc21f4c18f0",2025-09-01T04:00:00Z,136.75,"wifi bil","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","https://colivingmanagement.bukku.my/l/bli2-udZ58",,"817f6510-47ac-4f8f-9828-d2fd91cb406f",
"00f3081b-9f62-40cc-a087-acaccd48fbfc",2025-10-08T07:38:36Z,2026-02-19T13:01:27Z,"4603e922-975d-4dea-a482-3cce8a0e1539","SKS Pavillion B-31-03","e9ef1dee-1a92-4ff0-ada0-f4d36130917a",2025-09-01T04:00:00Z,272.15,"tnb","92f3ecef-c641-42fc-8085-60519b40820b","https://colivingmanagement.bukku.my/l/daCcu6Hyu3",,"817f6510-47ac-4f8f-9828-d2fd91cb406f",
"014d9eec-71f1-41a0-a531-b91fe41d9a8c",2026-03-10T10:05:32Z,2026-03-10T10:15:01Z,"bad279a4-e309-4354-a70f-2a1b0818317f","SKS Pavillion B-21-01","3d9581dd-f220-4547-91a5-b22e1e706005",2026-02-01T04:00:00Z,70.55,"WATER","e83a5d2c-dd1e-422e-b3de-eeb6438cc45e","https://colivingmanagement.bukku.my/l/bwg_KMoY-x","SKS Pavillion","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"019da6fa-f1a9-4ad4-a3fe-a85320fec875",2025-12-08T09:54:35Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Paragon Suite A-29-05","9f7212f5-4fac-4b40-8e1e-3e16b3f0b548",2025-10-31T16:00:00Z,120,"WINDOW LOCK M-01","5981792a-cba0-4215-b391-e6c352f3f3bb","https://colivingmanagement.bukku.my/l/dovVkruhkL","Magic Touch Sdn. Bhd","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"01f534ce-f5ed-4942-acf4-9049ffa64eba",2026-03-06T10:35:23Z,2026-03-10T10:15:22Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","Meridin Bayvue B1-10-05","f35e9434-7776-4980-a501-73869283af93",2026-01-31T16:00:00Z,50,"REPAIR WASHER","beaf7c8c-e161-4e8f-b30e-376c0d94be25","https://colivingmanagement.bukku.my/l/dv7YIHgc1B",,,
"0226aa7c-3e7f-49d0-9a0c-16432e98ffd9",2026-01-09T04:09:42Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Paragon Suite B-23-07","0841b059-48b6-4e65-988d-1fb24006db97",2025-11-30T16:00:00Z,60,"Cleaning","52890ac5-9a4d-40d0-80d2-2bbb8d13709b","https://colivingmanagement.bukku.my/l/dM2ejJbUgj","Clean Lemons","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"034b97c2-094a-4684-93b0-7c42ff5287a0",2025-12-08T09:54:35Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Meridin Bayvue B1-22-09","e9ef1dee-1a92-4ff0-ada0-f4d36130917a",2025-10-31T16:00:00Z,148.9,"TNB","2cf0712d-2d16-4843-b80e-a2b438b20421","https://colivingmanagement.bukku.my/l/dZMLaL7XpR","TNB","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"03ee24de-162a-481b-8503-73af929d9e87",2026-02-10T07:22:09Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Meridin Bayvue B2-19-12","90f9f1e2-62eb-4a37-a82a-a70427a331dc",2026-01-01T04:00:00Z,288.29,"Maintanance Fees","4155d4f3-9438-448a-8c5e-d49dd1272646","https://colivingmanagement.bukku.my/l/cqlYUjszte",,"817f6510-47ac-4f8f-9828-d2fd91cb406f",
"05f1df55-1fd0-42f3-b0f6-903f34bb1958",2025-10-08T07:38:36Z,2026-02-19T13:01:27Z,"4603e922-975d-4dea-a482-3cce8a0e1539","Meridin Bayvue B1-20-03a","90f9f1e2-62eb-4a37-a82a-a70427a331dc",2025-09-01T04:00:00Z,88.2,"water bil ","3faf9896-9e64-4092-93ec-603e692bae24","https://colivingmanagement.bukku.my/l/dNO0D2ga2E",,"817f6510-47ac-4f8f-9828-d2fd91cb406f",
"061c0a5f-77b4-4f20-86c0-ab34dc1a1383",2025-11-07T07:44:49Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Meridin Bayvue B1-10-05","e9ef1dee-1a92-4ff0-ada0-f4d36130917a",2025-10-01T04:00:00Z,64.9,"TNB","beaf7c8c-e161-4e8f-b30e-376c0d94be25","https://colivingmanagement.bukku.my/l/dMrzMtaDYO","TNB","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"06c92fa7-f6d2-40e3-a98b-9e62af7e171d",2025-11-07T07:44:49Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Paragon Suite A-29-05","e9ef1dee-1a92-4ff0-ada0-f4d36130917a",2025-10-01T04:00:00Z,353.75,"TNB","5981792a-cba0-4215-b391-e6c352f3f3bb","https://colivingmanagement.bukku.my/l/dMrzMtaDYO","TNB","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"071803ad-35df-49ba-9b69-974dbaf45093",2025-12-08T09:54:35Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Jalan Kuning Jalan Kuning","e9ef1dee-1a92-4ff0-ada0-f4d36130917a",2025-10-31T16:00:00Z,18.1,"TNB","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6","https://colivingmanagement.bukku.my/l/dZMLaL7XpR","TNB","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"0748be7f-8191-4ff3-adf2-02a0ae91aeea",2025-11-07T07:44:49Z,2026-02-19T13:01:27Z,"bad279a4-e309-4354-a70f-2a1b0818317f","SKS Pavillion B-21-01","e9ef1dee-1a92-4ff0-ada0-f4d36130917a",2025-10-01T04:00:00Z,207.7,"TNB","e83a5d2c-dd1e-422e-b3de-eeb6438cc45e","https://colivingmanagement.bukku.my/l/dMrzMtaDYO","TNB","817f6510-47ac-4f8f-9828-d2fd91cb406f",
