"ID","Created Date","Updated Date","Owner","invoiceurl","receipturl","Date","title","type","invoiceid","amount","tenancy","Accountid","Productid","isPaid","referenceid","room","tenant","Bukku_invoice_id","property","Paidat","client"
"005173a2-a206-487c-adf7-9e078891b80b",2026-03-01T13:37:06Z,2026-03-01T13:37:34Z,"4603e922-975d-4dea-a482-3cce8a0e1539","https://colivingmanagement.bukku.my/l/bEcRI9HvSU",,2026-12-01T00:00:00Z,"Dec 2026 - Meridin Bayvue B1-07-13a Small Room - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-02847",600,"9851562f-ce8a-4d25-8dcf-be7a070aa37e",53,1,,,"20b9e8cc-e829-4910-9e83-2f595169abf7","12ea1131-9783-4f55-a89a-b5abb24e87db",10891,"c0fba2d6-05e0-4b27-9cb7-a281e6430ac9",,
"0066466d-a296-43b4-876a-ed45a5a39d92",2025-09-14T15:19:54Z,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","https://colivingmanagement.bukku.my/l/cynE1FUbQH",,2026-08-01T00:00:00Z,"August 2026 - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-00938",700,"9a4c5001-77e7-4b61-a38e-ea1df717602a",53,1,,,"f8dbb89a-a49c-44e0-944a-5665241eafd7","ef8f0650-f7c5-4666-a224-91f67eba8872",6749,"6db13fb0-3b98-43ff-b84c-7e4b5560a3b6",,"817f6510-47ac-4f8f-9828-d2fd91cb406f"
"00efd7d9-4d14-45f4-b2ff-50c19ec2abe1",2025-09-14T15:19:54Z,2026-02-19T08:59:02Z,"bad279a4-e309-4354-a70f-2a1b0818317f","https://colivingmanagement.bukku.my/l/ciiJ5zlKV9",,2026-05-01T00:00:00Z,"May 2026 - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-00875",700,"9a4c5001-77e7-4b61-a38e-ea1df717602a",53,1,,,"f8dbb89a-a49c-44e0-944a-5665241eafd7","ef8f0650-f7c5-4666-a224-91f67eba8872",6686,"6db13fb0-3b98-43ff-b84c-7e4b5560a3b6",,"817f6510-47ac-4f8f-9828-d2fd91cb406f"
"00f90d0a-0e41-4075-9406-a8b1ab4c59ef",2025-11-07T07:28:57Z,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","https://colivingmanagement.bukku.my/l/cQGgjvTtgt",,2026-09-01T04:00:00Z,"September - Jalan Kuning Jalan Kuning Master Room 1 - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-02473",600,"e32cc057-6fb0-48b1-89db-543cc21af02d",53,1,,,"6b4a6637-2dbf-4913-9512-6b06abbafabd","a4b383a8-6ff0-457c-bb10-a5f872fbd5b3",10248,"6db13fb0-3b98-43ff-b84c-7e4b5560a3b6",,"817f6510-47ac-4f8f-9828-d2fd91cb406f"
"0126d417-68e3-4d00-97d5-27046affbcd7",2025-10-30T04:17:59Z,2026-03-14T01:41:24Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","https://colivingmanagement.bukku.my/l/a_aAPUSVKe","https://colivingmanagement.bukku.my/l/aPaFtOMUyM",2026-03-01T04:00:00Z,"March - Meridin Bayvue B1-10-05 Master Room - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-02458",800,"26e78ff1-68a4-43bc-a855-7516a19b4c64",53,1,true,"RC-mm6oclmx","7e68c424-aa3d-4ef6-bdd2-b6e4b0b621f6","acd1c031-63a5-49e7-b384-14f2a60afae0",10233,"beaf7c8c-e161-4e8f-b30e-376c0d94be25",2026-02-28T18:49:33Z,"817f6510-47ac-4f8f-9828-d2fd91cb406f"
"01293e58-0953-47f5-81a8-89113c327423",2026-03-01T13:37:06Z,2026-04-03T04:11:19Z,"4603e922-975d-4dea-a482-3cce8a0e1539","https://colivingmanagement.bukku.my/l/aphhgavDnZ",,2026-04-01T00:00:00Z,"Apr 2026 - Meridin Bayvue B1-07-13a Small Room - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-02839",600,"9851562f-ce8a-4d25-8dcf-be7a070aa37e",53,1,true,"RC-mnfipte8","20b9e8cc-e829-4910-9e83-2f595169abf7","12ea1131-9783-4f55-a89a-b5abb24e87db",10883,"c0fba2d6-05e0-4b27-9cb7-a281e6430ac9",2026-04-01T04:01:27Z,
"0279563d-cc5b-4e4f-9b11-6ba4f635a09d",2025-11-03T01:33:16Z,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","https://colivingmanagement.bukku.my/l/cExBo44odh","https://colivingmanagement.bukku.my/l/aul3A1sZsM",2026-01-01T00:00:00Z,"January - Paragon Suite A-29-05 Small Room - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-02152",500,"5f9cd58d-1dad-46ec-802b-cfd37e7a1387",53,1,true,"RC-mjznnzme","1dd25e1b-ec08-4bfb-981a-47eb98f21d73","4d2834cf-8c4a-4eb8-be1e-628d05f660d4",9655,"5981792a-cba0-4215-b391-e6c352f3f3bb",2026-01-04T11:36:16Z,"817f6510-47ac-4f8f-9828-d2fd91cb406f"
"02bbd5e7-7b50-45d9-bd14-9e3df1259e25",2025-09-14T15:20:36Z,2026-03-14T01:41:37Z,"bad279a4-e309-4354-a70f-2a1b0818317f","https://colivingmanagement.bukku.my/l/aZxWIHZoV5","https://colivingmanagement.bukku.my/l/dlNgNwKQel",2026-03-01T00:00:00Z,"March 2026 - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-01010",700,"917b3154-a042-4f26-8c55-2d377fb5ac77",53,1,true,"RC-mm7881ul","1c007afd-735e-4e70-b7e4-0d849b2efceb","782af970-3f7b-4206-bbb6-79daa4a25346",6821,"e83a5d2c-dd1e-422e-b3de-eeb6438cc45e",2026-03-01T04:06:05Z,"817f6510-47ac-4f8f-9828-d2fd91cb406f"
"02f32ed2-0c64-4a08-98ae-aed3cc291be9",2025-10-02T03:51:55Z,2026-02-19T08:59:02Z,"f7e698cb-0d8d-42d1-91c8-b9ff12f1486f","https://colivingmanagement.bukku.my/l/dUXIh_Qhl3","https://colivingmanagement.bukku.my/l/akojiTY_OX",2025-10-31T16:00:00Z,"October - Meridin Bayvue B2-19-12 Small Room - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-01624",19,"a6a7142a-219c-4f8f-8315-9cda36e3d838",53,1,true,"RC-mgbiyyhi","cfa07d63-8e83-45d4-a49d-98d5f97d3e89","6d386287-5491-484c-88cf-3877890cf838",7777,"4155d4f3-9438-448a-8c5e-d49dd1272646",2025-10-04T00:26:13Z,"817f6510-47ac-4f8f-9828-d2fd91cb406f"
"031204fe-bc01-4b4c-905a-26461a582730",2026-02-26T07:50:05Z,2026-03-31T08:33:37Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","https://colivingmanagement.bukku.my/l/bfXyqwM1T8",,2026-03-31T16:00:00Z,"Apr 2026 - Meridin Bayvue B1-22-09 Master Room - Rental Income","cf4141b1-c24e-4fc1-930e-cfea4329b178","IV-02813",1000,"d8128379-b03b-4326-8477-8f46c578d327",53,1,true,"RC-mnecxrf4","7840e5a5-e01b-44a0-b719-d44779d73085","2983c308-7f76-4afe-80d2-036ce1fbe6ea",10853,"2cf0712d-2d16-4843-b80e-a2b438b20421",2026-03-31T08:33:36Z,
