"ID","Created Date","Updated Date","Owner","property","period","title","totalrental","totalutility","totalcollection","expenses","netpayout","Bukkubills","Bukkuinvoice","monthlyreport","client","Paid"
"00ed2aae-5499-44ad-9522-33cc03f87093",2025-09-17T06:33:23Z,2026-02-20T08:24:26Z,"bad279a4-e309-4354-a70f-2a1b0818317f","5981792a-cba0-4215-b391-e6c352f3f3bb",2025-07-01T04:00:00Z,"July 2025 Paragon Suite A-29-05",1600,350,1950,333.77,852.09,,,"https://drive.google.com/file/d/1tSfBPKPm2VZqjwBzch9voY64b1DXej4U/view?usp=sharing","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"026d2798-af0f-4d41-92bf-ddf4004f85f5",2026-01-09T04:29:20Z,2026-02-20T08:24:26Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","1119da1b-7b56-4b65-9ca1-800757e29764",2025-11-30T16:00:00Z,"December 2025 Tri Tower A-18-03",3500,599.29,3530,599.29,2930.71,"https://colivingmanagement.bukku.my/l/dQ80pem1_t",,"https://download-files.wixmp.com/ugd/a1b068_3274bfa73bf64c45aeaa4ab868d5a290.pdf?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJvYmoiOltbeyJwYXRoIjoiL3VnZC9hMWIwNjhfMzI3NGJmYTczYmY2NGM0NWFlYWE0YWI4NjhkNWEyOTAucGRmIn1dXSwiZGlzIjp7ImZpbGVuYW1lIjoiMjAyNV9UcmlfVG93ZXJfQS0xOC0wMy5wZGYiLCJ0eXBlIjoiYXR0YWNobWVudCJ9LCJhdWQiOlsidXJuOnNlcnZpY2U6ZmlsZS5kb3dubG9hZCJdLCJleHAiOjE3Njc5Njg5NTQsImp0aSI6ImEyNmUyY2Q4LTkxNTMtNGJmNS04OWI2LWQwNTExNjIyMThhYyIsImlhdCI6MTc2NzkzMjk1NCwiaXNzIjoidXJuOmFwcDplNjY2MzBlNzE0ZjA0OTBhYWVhMWYxNDliM2I2OWUzMiIsInN1YiI6InVybjphcHA6ZTY2NjMwZTcxNGYwNDkwYWFlYTFmMTQ5YjNiNjllMzIifQ.5ZhBDPowBZOrjoZuTRGlCmybWoGsHj1J54bE2V9ZWKw","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"039dc155-74ff-4fce-8a5d-2418caaedf96",2025-09-17T06:33:23Z,2026-02-20T08:24:26Z,"bad279a4-e309-4354-a70f-2a1b0818317f","6db13fb0-3b98-43ff-b84c-7e4b5560a3b6",2025-03-01T04:00:00Z,"March 2025 Jalan Kuning Jalan Kuning",4700,360,5060,328.35,4261.65,,,,"817f6510-47ac-4f8f-9828-d2fd91cb406f",
"053babd0-3387-4196-a833-8020f4559d19",2025-09-17T06:33:23Z,2026-02-20T08:24:26Z,"bad279a4-e309-4354-a70f-2a1b0818317f","2cf0712d-2d16-4843-b80e-a2b438b20421",2025-02-01T04:00:00Z,"February 2025 Meridin Bayvue B1-22-09",1200,150,1350,690.31,539.69,,,,"817f6510-47ac-4f8f-9828-d2fd91cb406f",
"055eb704-6629-4f94-b704-a49791fab27c",2025-12-08T10:28:45Z,2026-02-20T08:24:26Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","c0fba2d6-05e0-4b27-9cb7-a281e6430ac9",2025-10-31T16:00:00Z,"November 2025 Meridin Bayvue B1-07-13a",2300,1240.9,2530,1240.9,1059.1,"https://colivingmanagement.bukku.my/l/aaIP_rgPGF","https://colivingmanagement.bukku.my/l/cbpbE-bM-e","https://download-files.wixmp.com/ugd/a1b068_c814fa9877904a569014b43849815673.pdf?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJvYmoiOltbeyJwYXRoIjoiL3VnZC9hMWIwNjhfYzgxNGZhOTg3NzkwNGE1NjkwMTRiNDM4NDk4MTU2NzMucGRmIn1dXSwiZGlzIjp7ImZpbGVuYW1lIjoiMjAyNV9NZXJpZGluX0JheXZ1ZV9CMS0wNy0xM2EucGRmIiwidHlwZSI6ImF0dGFjaG1lbnQifSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXSwiZXhwIjoxNzY1MjI1NzE2LCJqdGkiOiJiNmQ2YTViOS1hY2VkLTQ2MzAtOWYzMi04YjgwODQxNDJhZGIiLCJpYXQiOjE3NjUxODk3MTYsImlzcyI6InVybjphcHA6ZTY2NjMwZTcxNGYwNDkwYWFlYTFmMTQ5YjNiNjllMzIiLCJzdWIiOiJ1cm46YXBwOmU2NjYzMGU3MTRmMDQ5MGFhZWExZjE0OWIzYjY5ZTMyIn0.CiRCffIhD2RqLVBloj-ogAuTXBP9dYhoBArFmfRnnSQ","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"05b9ffaa-c02a-42eb-88a7-7c76666b65d1",2026-04-10T02:49:40Z,2026-04-10T02:51:26Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","2cf0712d-2d16-4843-b80e-a2b438b20421",2026-02-28T16:00:00Z,"March 2026 Meridin Bayvue B1-22-09",2900,538.11,2970,538.11,2141.89,"https://colivingmanagement.bukku.my/l/bQVVpkoown","https://colivingmanagement.bukku.my/l/b4PVpzEGp2","wix:document://v1/a1b068_0bc86d7fa3184555af5b69fd486ae4b5.pdf/2026_Meridin_Bayvue_B1-22-09.pdf",,
"06ecb0c5-9c22-432e-ac25-e49567fdad03",2025-11-07T09:51:23Z,2026-02-20T08:24:26Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","31e9f13e-8494-4000-bee6-85306326a98a",2025-09-30T16:00:00Z,"October 2025 Aliff Residences B-13-07",1610,521.52,2010,1641.64,207.36,"https://colivingmanagement.bukku.my/l/a5iPw4zN8d","https://colivingmanagement.bukku.my/l/d8KQrt_m1w","https://download-files.wixmp.com/ugd/a1b068_ce10d4c41a9446a996c1f0d141d4c0de.pdf?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJvYmoiOltbeyJwYXRoIjoiL3VnZC9hMWIwNjhfY2UxMGQ0YzQxYTk0NDZhOTk2YzFmMGQxNDFkNGMwZGUucGRmIn1dXSwiZGlzIjp7ImZpbGVuYW1lIjoiMjAyNV9BbGlmZl9SZXNpZGVuY2VzX0ItMTMtMDcucGRmIiwidHlwZSI6ImF0dGFjaG1lbnQifSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXSwiZXhwIjoxNzY3NjkzMDc1LCJqdGkiOiI0N2I0YWU4MC0zYzE4LTQzMzYtODkzMi1iZmRkNzU2Y2Q5OTciLCJpYXQiOjE3NjI1MDkwNzUsImlzcyI6InVybjphcHA6ZTY2NjMwZTcxNGYwNDkwYWFlYTFmMTQ5YjNiNjllMzIiLCJzdWIiOiJ1cm46YXBwOmU2NjYzMGU3MTRmMDQ5MGFhZWExZjE0OWIzYjY5ZTMyIn0.61YnsYx24Zaspnvx8Ipp2h5QWK7mCECGjru2S2ph5K0","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"09bba8c3-e64c-4ee9-a9ca-071a5b13f122",2025-09-17T06:33:23Z,2026-02-20T08:24:26Z,"bad279a4-e309-4354-a70f-2a1b0818317f","92f3ecef-c641-42fc-8085-60519b40820b",2025-04-01T04:00:00Z,"April 2025 SKS Pavillion B-31-03",0,0,0,23.05,'-23.05,,,,"817f6510-47ac-4f8f-9828-d2fd91cb406f",
"0a427b04-6338-467e-9a72-8bbef06c661d",2026-01-09T04:29:17Z,2026-02-20T08:24:26Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","e83a5d2c-dd1e-422e-b3de-eeb6438cc45e",2025-11-30T16:00:00Z,"December 2025 SKS Pavillion B-21-01",3400,762.07,3490,762.07,2387.93,"https://colivingmanagement.bukku.my/l/bg13ihTeAU","https://colivingmanagement.bukku.my/l/cNIKQH5IBJ","https://download-files.wixmp.com/ugd/a1b068_ee819856b7734933a853abacae757703.pdf?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJvYmoiOltbeyJwYXRoIjoiL3VnZC9hMWIwNjhfZWU4MTk4NTZiNzczNDkzM2E4NTNhYmFjYWU3NTc3MDMucGRmIn1dXSwiZGlzIjp7ImZpbGVuYW1lIjoiMjAyNV9TS1NfUGF2aWxsaW9uX0ItMjEtMDEucGRmIiwidHlwZSI6ImF0dGFjaG1lbnQifSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXSwiZXhwIjoxNzY3OTY4OTQ5LCJqdGkiOiJhYWEzNDkyNi03NTlhLTRlYzItYjlhYy01MjQwN2UzYmUzOTgiLCJpYXQiOjE3Njc5MzI5NDksImlzcyI6InVybjphcHA6ZTY2NjMwZTcxNGYwNDkwYWFlYTFmMTQ5YjNiNjllMzIiLCJzdWIiOiJ1cm46YXBwOmU2NjYzMGU3MTRmMDQ5MGFhZWExZjE0OWIzYjY5ZTMyIn0.SmBi3f2yp1PkEY3nEe1gohNJgzqzymzN0KKTKiULhh8","817f6510-47ac-4f8f-9828-d2fd91cb406f",
"0af742e7-8532-4980-9cfd-447df31907c0",2026-03-10T10:23:51Z,2026-03-15T19:10:18Z,"a1b06860-22d8-4493-ae60-65dfd19af60e","c0fba2d6-05e0-4b27-9cb7-a281e6430ac9",2026-01-31T16:00:00Z,"February 2026 Meridin Bayvue B1-07-13a",2400,659,2540,659,1641,"https://colivingmanagement.bukku.my/l/aiiOOx5U0V","https://colivingmanagement.bukku.my/l/apVh5dvaA4","wix:document://v1/a1b068_2402d53b49bb43c69d429c7977cf13e8.pdf/2026_Meridin_Bayvue_B1-07-13a.pdf","817f6510-47ac-4f8f-9828-d2fd91cb406f",
