"ID","Created Date","Updated Date","Owner","bankname","swiftcode"
"07f905a3-4b96-4bc6-a98e-58c0e605e107",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","HSBC","HBMBMYKL"
"1892674d-04cb-464f-95d3-cb3d0caa31b4",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Alliance Bank","MFBBMYKL"
"227cc903-73e5-4490-8ff7-8ac5738732df",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","CIMB Bank","CIBBMYKL"
"28ce42e6-0c5f-49f6-8752-2fa5363dd0f4",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","RHB","RHBBMYKL"
"2aefbb56-d4e5-4bd5-bf6c-6cd35f5ddb54",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Bank Islam","BIMBMYKL"
"34300f21-ce0c-4777-bcba-c79b15abd54c",2025-11-03T13:21:24Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Affin Bank","PHBMMYKL"
"469cfa0b-88c9-4de5-a160-9bb877a7feec",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","OCBC","OCBCMYKL"
"5c5c179b-736b-48ef-9280-dd4c30091dd8",2025-11-03T14:20:51Z,2025-11-03T14:21:04Z,"bad279a4-e309-4354-a70f-2a1b0818317f","MERCHANTRADE ASIA SDN BHD","MSSHMY21 "
"79128ed9-f7f1-4700-b452-e06eacbedc1c",2025-11-04T09:08:49Z,2025-11-04T09:08:51Z,"bad279a4-e309-4354-a70f-2a1b0818317f","TNG",
"96cfe3e1-3ff5-4296-ad62-f3a74ec1f723",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Hong Leong Bank","HLBBMYKL"
"bb1787b7-c5e9-4b6f-8fb0-5512ae600352",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Public Bank","PBBEMYKL"
"c353964c-44fa-4183-bd21-ca7fd879caa3",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","UOB","UOVBMYKL"
"c9cab3c4-4dec-4865-9c0e-03bbe0e21679",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Standard Chartered Bank","SCBLMYKX"
"cf0463b5-5bff-4afd-a917-a83eafecd9a8",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","MBSB","AFBQMYKL"
"e8a210cf-1d3c-4b68-a9a3-d44336d436a8",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","Maybank","MBBEMYKL"
"fe017ef1-7d83-47ac-b95e-b954b82bcea2",2025-11-03T13:21:25Z,2025-11-03T13:21:54Z,"bad279a4-e309-4354-a70f-2a1b0818317f","AmBank","ARBKMYKL"
